"","DRUG_ID","COSMIC_ID","IC50_Normal","Pos","ID","y","hsa00020","hsa00220","hsa00230","hsa00310","hsa00330","hsa00500","hsa00510","hsa00514","hsa00515","hsa00532","hsa00533","hsa00534","hsa00565","hsa00590","hsa00591","hsa00592","hsa00601","hsa00970","hsa03008","hsa03013","hsa03018","hsa03020","hsa03022","hsa03060","hsa03320","hsa03410","hsa03440","hsa03460","hsa04010","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04066","hsa04072","hsa04110","hsa04145","hsa04146","hsa04151","hsa04217","hsa04260","hsa04261","hsa04270","hsa04371","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04614","hsa04630","hsa04640","hsa04670","hsa04713","hsa04720","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04810","hsa04911","hsa04912","hsa04916","hsa04919","hsa04921","hsa04924","hsa04925","hsa04926","hsa04927","hsa04930","hsa04934","hsa04950","hsa04970","hsa04975","hsa04978","hsa04979","hsa05010","hsa05016","hsa05031","hsa05032","hsa05130","hsa05132","hsa05133","hsa05140","hsa05142","hsa05145","hsa05146","hsa05152","hsa05160","hsa05162","hsa05164","hsa05166","hsa05168","hsa05169","hsa05203","hsa05212","hsa05218","hsa05221","hsa05222","hsa05224","hsa05226","hsa05230","hsa05340","hsa05410","hsa05412","hsa05414","hsa05416","hsa00062","hsa00240","hsa00350","hsa00512","hsa00563","hsa00630","hsa01040","hsa01210","hsa01212","hsa01522","hsa02010","hsa03015","hsa04064","hsa04068","hsa04136","hsa04137","hsa04140","hsa04141","hsa04144","hsa04150","hsa04210","hsa04211","hsa04213","hsa04216","hsa04218","hsa04310","hsa04350","hsa04380","hsa04390","hsa04612","hsa04620","hsa04621","hsa04622","hsa04623","hsa04657","hsa04658","hsa04659","hsa04662","hsa04668","hsa04672","hsa04918","hsa04933","hsa04940","hsa04971","hsa04977","hsa05034","hsa05110","hsa05120","hsa05131","hsa05143","hsa05144","hsa05150","hsa05161","hsa05202","hsa05205","hsa05210","hsa05211","hsa05219","hsa05220","hsa05225","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa00564","hsa00730","hsa01521","hsa01524","hsa04012","hsa04142","hsa04972","hsa05213","hsa05215","hsa05223","hsa00030","hsa01200","hsa01230","hsa03040","hsa04062","hsa04080","hsa04115","hsa04360","hsa04964","hsa04974","hsa04976","hsa05033","hsa00450","hsa03010","hsa03420","hsa04120","hsa00480","hsa00980","hsa00982","hsa00983","hsa05204","hsa05418","hsa04510","hsa04928","hsa05163","hsa05165","hsa05167","hsa05206","hsa00010","hsa00051","hsa00052","hsa00760","hsa04152","hsa04625","hsa04714","hsa05012","hsa00061","hsa00190","hsa04932","hsa00280","hsa00410","hsa00640","hsa00910","hsa04650","hsa04913","hsa04915","hsa05014","hsa00650","hsa00071","hsa04070","hsa04920","hsa05100","hsa00250","hsa00561","hsa03030","hsa04071","hsa04910","hsa00520","hsa03050","hsa04922","hsa04721","hsa04931","hsa01523","hsa00562","hsa00790","hsa04114","hsa05134","hsa00140","hsa03450","hsa00830","hsa03430","hsa04330","hsa04917","hsa04961","hsa00770","hsa04750","hsa05020","hsa04130","hsa00600","hsa04973","hsa04966","hsa04664","hsa04370","hsa04666","hsa04660","hsa00270","hsa04710","hsa04962","hsa05030","hsa00620","hsa04914","hsa00900","hsa04340","hsa04923","hsa00260","hsa00860","hsa05231"
"1","X1001",683665,1.17508727890745,TRUE,17611,"R",0,0,0,0,0,0,1,1,0.333333333333333,0.5,1,1,0.5,0,0,0,1,0.5,0.666666666666667,0.5,0,0,0,0.5,0.5,0,1,0.5,0.25,0.5,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0,0.5,1,0,0.5,0.333333333333333,0,0,0.25,0.333333333333333,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0,0,0,0,1,0.333333333333333,0,1,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333,0.5,0,1,0.5,0,0,0,0.2,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0.25,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.666666666666667,0.5,0,0,0,0,0,1,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","X1006",683665,-1.85207931686916,FALSE,210940,"S",0,0,0.25,0.5,0,0,0.5,0.5,0.333333333333333,0.5,1,1,0,0,0,0,1,0,0.333333333333333,0.5,0,0,0,0.75,0.5,0,1,0.5,0.25,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.5,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0,0,0,0,0,0.25,0.5,0.25,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,1,0,0,0,0,0.5,0,1,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0.4,0,0.5,0,1,0,0,0,0,0,0,0,0,1,0.25,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0.333333333333333,0.5,0,0.5,1,0,0.333333333333333,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0.5,0,0,0.666666666666667,0,0,1,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","X106",683665,-0.344332973670539,FALSE,156849,"0",0.5,0.5,0.5,0.5,1,0,1,0.5,0.333333333333333,0.5,1,1,1,0.333333333333333,1,1,1,0.5,0,0.25,0,1,0.5,0.25,0.5,1,1,0,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0,0.333333333333333,1,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,1,0.5,1,0.333333333333333,0.5,0,0,0,0.5,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.333333333333333,0.25,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,1,0.5,0.5,0.5,1,0.333333333333333,1,0,0,0,1,1,0.5,1,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,1,0.333333333333333,1,1,0,1,0.5,1,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0.5,0,0,0.333333333333333,0.25,0.5,1,0.5,0.5,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0.25,0.5,0.666666666666667,0.5,0,0,0,0.5,1,0,0,0,1,0.5,0,0.25,0,0.5,1,1,0.333333333333333,0,0,0,0.5,0.666666666666667,0.5,0,0,0,0,0.5,0.5,0.5,0,0,1,0.5,1,0.5,0.5,0.5,0,0,0,0,0,1,0.5,1,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","X1060",683665,-1.21868543996223,FALSE,197122,"S",0.5,0,0,0.5,0,0,1,0.5,0.333333333333333,0.5,1,1,0.5,0.333333333333333,0,0,1,0.5,0.333333333333333,0.5,0.333333333333333,1,0,0.5,0.5,0,1,0,0.5,0.5,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0.333333333333333,0.666666666666667,0,0.5,0,0.5,0,0.333333333333333,0.5,0,0.5,0.5,0,0.333333333333333,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5,0.5,0,0,0,0.333333333333333,0,0,0.25,0.333333333333333,0.5,0.333333333333333,0.5,0,0.5,1,0.5,0,0.5,1,0.333333333333333,0,0,0.666666666666667,0,0,0,0.25,0.5,0.25,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0.5,0,0,0.333333333333333,0.5,0,0,1,0,0,0,0.4,0,0.5,0,1,0,0,0.666666666666667,0.333333333333333,0.666666666666667,0,0,0,1,0.25,0.5,0.666666666666667,0.5,0,1,0,0.5,1,0,0,0,1,0,0.333333333333333,0.25,0.5,0.5,1,0,0.333333333333333,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0.5,0.5,0,0,0.333333333333333,0,0,1,0.5,0.5,0.5,1,0.5,0,0.5,0.666666666666667,0,0.666666666666667,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","X1091",683665,0.21947916891011,TRUE,106728,"0",0.5,0,0.75,0,0,0,0,0,0.333333333333333,0.5,0,1,0.5,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,1,0,1,0.5,1,1,0.5,0.5,0.5,0,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0,0,0,1,1,0.333333333333333,1,0,0.5,0.5,0,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,1,0.75,0,0,0,0.333333333333333,0,0.666666666666667,0.5,0.666666666666667,0.5,0.333333333333333,0.5,0,1,1,1,0,0.5,1,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0.333333333333333,0.25,0,0,0.5,0,0,0,0.2,0,0,0.333333333333333,0,0,0,0.666666666666667,0.333333333333333,0.666666666666667,0,0,0,0,0.25,0,0.333333333333333,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.333333333333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.333333333333333,0.5,1,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0.666666666666667,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,1,0,0,0.5,0,0,1,0,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","X111",683665,0.428015440489647,TRUE,84311,"0",0.5,0.5,0.25,1,1,0,0.5,0.5,0.333333333333333,0.5,1,1,0.5,0,0,0,1,0.5,0.333333333333333,0.25,0.333333333333333,0.5,0.5,0.25,0.5,0,1,0.5,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0.333333333333333,1,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.666666666666667,0.5,1,0.333333333333333,0.5,0,0,0,0.5,0.333333333333333,0,0,0,0,0,0,0,0.5,0.25,0,0.5,0,0,0,0.666666666666667,0.25,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,1,0.5,0,0.5,1,0,0.5,0,0,0,1,1,0.5,1,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,1,1,0,1,0.5,1,0.5,0,0.5,0,0.5,0.5,0,0,0,1,0,0,0,0,0,1,0.333333333333333,0,0.666666666666667,0,0,0,0,0.25,0.5,0,1,0.5,0,0,0.2,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.25,0.5,0.333333333333333,0.5,0,0,0,0.5,1,0,0,0,1,0.5,0,0.25,0,0.5,1,1,0.333333333333333,0,0,0,0.5,0.666666666666667,0.5,0,0,0,0,0.5,0.5,0.5,0,0,1,0.5,1,0.5,1,0.5,0.333333333333333,0,1,0,0,0,0,0.5,0,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","X1166",683665,-1.98367719646784,FALSE,213061,"S",0.5,0,0.25,0,0,0,0.5,0.5,0.333333333333333,0.5,1,1,0.5,0,0,0,1,0.5,0.333333333333333,0.25,0.333333333333333,0.5,0.5,0.5,1,0,1,0,0.25,0.5,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0.666666666666667,0,0,0,0.333333333333333,0.5,0,0,0.5,1,0.333333333333333,0,1,0,0.5,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.5,1,0,0.25,1,0,0.5,0,0,0,0,0.333333333333333,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0,0,0.5,0,1,0,0.5,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,1,0,0.333333333333333,0.75,0,0,0.5,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0.666666666666667,0.666666666666667,0,0,0,1,0.25,0.5,0.666666666666667,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.666666666666667,0.5,0,0,0,0,0.5,0.5,0,0,0.666666666666667,0,0.666666666666667,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0.666666666666667,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"8","X1241",683665,0.138249522928855,TRUE,115314,"0",0,0,0.25,0.5,0,0,0.5,0.5,0.333333333333333,0.5,1,1,0.5,0.333333333333333,0,0,1,0.5,0.333333333333333,0.5,0,0.5,0,0.75,0.5,1,1,0,0.5,0,0,0,0,0.5,0,0.5,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0.25,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0.5,0,0.5,0,0,0.2,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,0,0.5,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","X1373",683665,0.179769765814216,TRUE,110985,"0",0.5,0,0.75,0.5,0,0,1,0.5,0.333333333333333,0.5,1,1,0.5,0.333333333333333,0,0,1,0.5,0.666666666666667,0.75,0.333333333333333,0.5,1,0.5,0.5,1,1,0,1,0.5,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0,0.666666666666667,1,0,0.333333333333333,0,1,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,1,0,0.666666666666667,1,0,0,0,0,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,1,0.25,0,0,0,0.666666666666667,0,0.333333333333333,1,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0,1,0,0.5,1,0.666666666666667,0,0,0.666666666666667,0,0,0,0.25,0.5,0.25,0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,1,0,0,0,0,0.5,0,1,1,1,1,0.5,0,0,0,0,0.5,1,0,0,0,0,0.666666666666667,1,0.333333333333333,0.5,0,0,0.333333333333333,0.5,0,0,1,0.5,0,0,0.4,0,0.5,0.333333333333333,1,0,0,0.666666666666667,0,0,0,0,0,1,0.25,0.5,0.333333333333333,0.5,0,1,1,1,0,0,0,0,1,0,0.333333333333333,0.5,1,0.5,1,0,0.666666666666667,0.5,0,0,0.5,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0,1,0,0.5,0.333333333333333,0,0,0,0.5,0.5,0,0,0,0,0.5,0.666666666666667,0,0.666666666666667,0,0,0,0,0.5,0,1,0,0,0.5,0,0,0.5,0,1,0,0,0.5,1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,1,0,0.5,1,0,1,1,1,1,1,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","X159",683665,-0.570664887120994,FALSE,170515,"0",0,0,0.5,1,0,0,0.5,0.5,0.333333333333333,0.5,1,1,0.5,0.333333333333333,0,0,1,0.5,0.333333333333333,0.5,0,0.5,0,0.25,0.5,1,1,0,0.5,0.5,0,0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.5,0,0.5,1,0.666666666666667,0.5,0,0,0,0,0.666666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.5,0,0,0,0,0.333333333333333,0,0.333333333333333,0.25,0.333333333333333,0,0.333333333333333,0,0,0.5,1,0.5,0,0,1,0,0,0,0.333333333333333,0,0,0,0.25,0.5,0.25,0.333333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333,0,1,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.5,0,0,0.333333333333333,0.25,0,0,0,0,0,0,0.2,1,0.5,0.333333333333333,1,0,0,0,0,0,0,0,0,1,0.25,0,0.333333333333333,0.5,0,0,1,0.5,1,0,0,0,1,0,0.333333333333333,0.25,0,0.5,1,1,0.333333333333333,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0,1,0.5,0.5,0.5,1,0.5,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0.5,0,1,0,1,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
